fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221122 141109	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	0.1	50	0.5	FALSE	987353	0.21334065387075	0.52666066961841	0.561245173695985	4.97461989445645	0.0190651916780462	19371	43978000	22
20221122 145104	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	987353	0.0333580135803642	0.394894039458541	0.716821018922174	4.70947326726389	0.0232302412000799	17103	45874000	23
20221122 152031	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	482	1	1	1	0.1	50	0.5	FALSE	987353	0.0684166751846289	0.403641670254819	0.618913819541688	5.05350767615746	0.0259494465131199	15682	46476000	24
20221122 155228	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	154	1	1	1	0.1	50	0.5	FALSE	987353	0.158242200148493	0.705450909810958	0.117967631151797	8.51545095045211	0.022478718845048	15455	46770000	25
20221122 205728	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6833	1	1	1	0.1	50	0.5	FALSE	987353	0.00528503185033898	0.69475214021303	0.0597904623751061	8.3918388063837	0.0203858735487987	17525	45510000	26
20221122 210358	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	0.1	50	0.5	FALSE	987353	0.288910757215476	0.718008087607932	0.174721708691509	8.62958960646175	0.0173224976990284	18236	42808000	27
20221122 211702	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	593	1	1	1	0.1	50	0.5	FALSE	987353	0.144430957432231	0.696440032279167	0.0555168933479799	7.4383713597943	0.0211513450221064	17003	45354000	28
20221122 213310	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	732	1	1	1	0.1	50	0.5	FALSE	987353	0.118319990916637	0.741632754985776	0.0502804715149227	8.48512867499707	0.0177485233035007	18693	42934000	29
20221123 000237	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3061	1	1	1	0.1	50	0.5	FALSE	987353	0.00508942329852939	0.417321670346959	0.622174718222811	7.15345725489974	0.0186362357988357	18718	44964000	30
20221123 001853	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	987353	0.13240727537921	0.434326977639453	0.864909864720693	3.04082066864291	0.0188022218982816	20088	42384000	31
20221123 003935	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	788	1	1	1	0.1	50	0.5	FALSE	987353	0.118164872192897	0.684460493591655	0.11347833259878	8.81807630992935	0.0122080747534947	16262	43396000	32
20221123 005019	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	987353	0.107371548022754	0.705172670564063	0.0555288059448393	9.24382528050923	0.0156585106062827	19391	43778000	33
20221123 010034	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	313	1	1	1	0.1	50	0.5	FALSE	987353	0.182256538440422	0.707868262469271	0.0983914485792538	8.06311825057644	0.016943100587473	18383	43474000	34
