fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221120 125150	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	375	1	1	1	0.1	50	0.5	FALSE	987353	0.18209534794714	0.561783630845894	0.447473492884831	5.87363194608811	0.0240002710597302	15629	47382000	22
20221120 130607	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	538	1	1	1	0.1	50	0.5	FALSE	987353	0.285770449521254	0.562331227871179	0.0564653420143773	5.81708788784523	0.0200765861715657	18328	44064000	23
20221120 131905	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	340	1	1	1	0.1	50	0.5	FALSE	987353	0.167594860440031	0.563280969270723	0.614068288281117	5.91273531411428	0.0191766378535843	17565	46070000	24
20221120 132734	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	0.1	50	0.5	FALSE	987353	0.202475890330962	0.215580437472226	0.454418475195538	5.70562124465989	0.0217133397180941	17065	45710000	25
20221120 133801	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	243	1	1	1	0.1	50	0.5	FALSE	987353	0.11029046620136	0.493878118220381	0.462301220268712	6.71038572036101	0.0204814420910356	17357	45686000	26
20221120 135146	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	0.1	50	0.5	FALSE	987353	0.192590790759312	0.500768864627296	0.109556057643067	5.3847578718499	0.0194938163711457	18580	45320000	27
20221120 140016	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	0.1	50	0.5	FALSE	987353	0.196224504747542	0.535607794107634	0.486881780388734	5.53819343537916	0.0199409583497101	18263	44594000	28
20221120 140447	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	0.1	50	0.5	FALSE	987353	0.142881887826475	0.755841998660592	0.446225666946225	4.73734426557444	0.0218416860743591	17605	45190000	29
20221120 141034	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	0.1	50	0.5	FALSE	987353	0.290055200241805	0.59779859656692	0.443465532185113	6.18361875398533	0.0188342341216104	18852	44296000	30
20221120 143109	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	899	1	1	1	0.1	50	0.5	FALSE	987353	0.183628911435342	0.567963148897166	0.126377075152449	3.96476465083407	0.0262263070139103	15493	43414000	31
20221120 143920	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	987353	0.186750275410753	0.559418976124904	0.593611867081292	6.52309788145583	0.0216508672125104	16934	47092000	32
20221120 145522	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	422	1	1	1	0.1	50	0.5	FALSE	987353	0.183595900624476	0.561430242673127	0.455547951616578	8.7951818330729	0.00130470893571938	16970	42700000	33
20221120 151252	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	629	1	1	1	0.1	50	0.5	FALSE	987353	0.131126761915789	0.48211102408521	0.445045005013689	5.65595015495158	0.0215477159226751	17066	46268000	34
20221120 152046	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	209	1	1	1	0.1	50	0.5	FALSE	987353	0.181794298258423	0.405088994176755	0.142462436228891	6.24102451968435	0.0190108549853739	19137	43406000	35
20221120 153746	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	522	1	1	1	0.1	50	0.5	FALSE	987353	0.0481147317820728	0.580480940053237	0.421872818880038	5.84727798870897	0.0217570056167146	17322	46476000	36
20221120 155738	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	625	1	1	1	0.1	50	0.5	FALSE	987353	0.0429846121744705	0.577806668886702	0.461901100815275	5.91988121315981	0.0223477446123232	17327	46386000	37
20221120 161151	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	395	1	1	1	0.1	50	0.5	FALSE	987353	0.127433597893548	0.536093139839106	0.576490559474367	6.50153949851383	0.0197394369036344	16944	45472000	38
20221120 164827	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1917	1	1	1	0.1	50	0.5	FALSE	987353	0.0186876830314263	0.274779827876249	0.437938326946099	6.08897123090201	0.0231405312303841	16660	4.7e+07	39
20221120 170744	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	545	1	1	1	0.1	50	0.5	FALSE	987353	0.0246586121103927	0.46075806777128	0.89541901919153	5.74542830064311	0.0218962465749248	17429	45622000	40
20221120 171115	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	0.1	50	0.5	FALSE	987353	0.219289207445021	0.873173889885877	0.594540685399679	6.38966822391564	0.0216692431317872	17190	45460000	41
20221120 171938	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	399	1	1	1	0.1	50	0.5	FALSE	987353	0.0672036846202056	0.629241938704434	0.944810003278483	6.25104340050981	0.0218720423964759	16709	46902000	42
20221120 173014	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	300	1	1	1	0.1	50	0.5	FALSE	987353	0.0362639504149999	0.284716533034865	0.948142170790205	6.37066971286558	0.0211827599589388	17874	45452000	43
20221120 175141	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1522	1	1	1	0.1	50	0.5	FALSE	987353	0.0350038238215079	0.854934856992573	0.936390688399849	5.78612626424313	0.0199501273607067	17375	46930000	44
20221120 180249	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	766	1	1	1	0.1	50	0.5	FALSE	987353	0.0812238254279309	0.69614821919174	0.932425734311219	5.15906028813076	0.0245614723882736	15721	47358000	45
20221120 180939	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	365	1	1	1	0.1	50	0.5	FALSE	987353	0.0913566927288402	0.801901545998711	0.949572604982027	5.18974879032042	0.023129165846722	16678	46724000	46
20221120 181630	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	0.1	50	0.5	FALSE	987353	0.0863226313436659	0.716822156966423	0.923974016927939	5.93068931585025	0.0188017641912662	18594	45292000	47
20221120 183310	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1308	1	1	1	0.1	50	0.5	FALSE	987353	0.056567378253229	0.635547835614376	0.937504995966875	4.938237281155	0.0206441511509631	17445	46150000	48
20221120 183918	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	987353	0.181421400970782	0.444062105438129	0.461372202721844	6.050893900601	0.0192352567305313	19108	43944000	49
20221120 185031	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2225	1	1	1	0.1	50	0.5	FALSE	987353	0.280232322193659	0.868322052349592	0.855349276281742	1.44033353963005	0.0193140667100018	17869	38422000	50
20221120 190835	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1730	1	1	1	0.1	50	0.5	FALSE	987353	0.0603033485900439	0.703813283623851	0.440400722610307	5.33465572089808	0.0207533585878218	17306	46828000	51
20221120 191228	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	0.1	50	0.5	FALSE	987353	0.189480113698079	0.65754538037826	0.390886758717463	5.83141482974263	0.0233526052389432	16645	46150000	52
20221120 193158	1222	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1447	1	1	1	0.1	50	0.5	FALSE	987353	0.0293661729788246	0.755983608143416	0.985985819241389	5.30064817823954	0.0200854966110542	18099	45722000	53
