fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221120 133309	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	987353	0.119269903234928	0.897828546937163	0.391431656743979	6.8779807901295	0.0213235320406628	16886	46308000	22
20221120 134406	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1083	1	1	1	0.1	50	0.5	FALSE	987353	0.134326889959565	0.740192016012332	0.16403902397338	6.61985741498863	0.0229290067147913	15418	47564000	23
20221120 134906	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	204	1	1	1	0.1	50	0.5	FALSE	987353	0.144681215040567	0.699488021799228	0.349273119770561	6.62809418863102	0.0228174637848161	16408	47024000	24
20221120 135402	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	0.1	50	0.5	FALSE	987353	0.125883471739836	0.823575982893672	0.0775791430437591	6.65607408175048	0.0222490547785231	16808	45824000	25
20221120 140230	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	733	1	1	1	0.1	50	0.5	FALSE	987353	0.126576440655074	0.809211969911453	0.209236951240866	6.41759271996676	0.0185622320477581	18443	44714000	26
20221120 140732	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	322	1	1	1	0.1	50	0.5	FALSE	987353	0.157853519952398	0.664273220737169	0.183557530581503	6.72797848254575	0.0197670944303667	17119	46802000	27
20221120 142438	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	512	1	1	1	0.1	50	0.5	FALSE	987353	0.114787397858488	0.459350928740465	0.782867540219595	5.01206904702001	0.0199494160171547	18274	45532000	28
20221120 143207	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	987353	0.0693988343957475	0.842132663043605	0.228070344762779	6.65454599515942	0.0209217762044672	17033	45694000	29
20221120 143520	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	0.1	50	0.5	FALSE	987353	0.249789163087272	0.764411080208812	0.400852078846447	6.75395997231435	0.0216356655253463	16660	45640000	30
20221120 144323	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	0.1	50	0.5	FALSE	987353	0.129227863606578	0.875991442446668	0.506140741544941	6.60924892840862	0.0206951325934828	16241	46398000	31
20221120 145745	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	457	1	1	1	0.1	50	0.5	FALSE	987353	0.187087531907908	0.470799903702805	0.147297375487183	6.59895909678016	0.018377688476394	18457	44846000	32
20221120 150305	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	0.1	50	0.5	FALSE	987353	0.118452145911683	0.754108858850368	0.392837220181996	6.74319389390659	0.0208434076351583	17424	46032000	33
20221120 150912	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	244	1	1	1	0.1	50	0.5	FALSE	987353	0.0850926692415574	0.898049243596302	0.435567920921073	6.55473923692074	0.0247981103354179	15482	47676000	34
20221120 154545	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3012	1	1	1	0.1	50	0.5	FALSE	987353	0.00643021571987977	0.879661103188249	0.169716332544971	7.04834769115612	0.0199125657576697	17688	45984000	35
20221120 155116	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	1	0.1	50	0.5	FALSE	987353	0.101841094598068	0.898151852055369	0.422721989037343	7.07286112093803	0.0182147779770874	18656	45408000	36
20221120 155630	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	369	1	1	1	0.1	50	0.5	FALSE	987353	0.0882123609912541	0.704828928589086	0.138424900235576	6.63387324494097	0.0230287224359468	16256	46288000	37
20221120 160101	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	1	0.1	50	0.5	FALSE	987353	0.153975125409429	0.872369707873839	0.416563310999359	6.59101467283158	0.0222922326717087	16569	46302000	38
20221120 160858	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	0.1	50	0.5	FALSE	987353	0.056591895432984	0.769959502531472	0.44665109564993	6.15929558319612	0.0213653813110425	17365	46310000	39
20221120 161355	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	0.1	50	0.5	FALSE	987353	0.125425730962015	0.867804427808545	0.169133017475834	5.98959011230218	0.0205649720555156	17804	45192000	40
20221120 162246	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	474	1	1	1	0.1	50	0.5	FALSE	987353	0.0828008025752704	0.892891373562578	0.453899320569492	6.70601710070243	0.0198813502523041	16828	46584000	41
20221120 163252	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	547	1	1	1	0.1	50	0.5	FALSE	987353	0.0505530902876547	0.708866940059352	0.460721312308857	6.48937899502182	0.0222933452321323	16497	46846000	42
20221120 163827	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	0.1	50	0.5	FALSE	987353	0.136357585686631	0.839087014632883	0.24028444123672	6.88836512221809	0.020764501742442	16925	44870000	43
20221120 164217	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	0.1	50	0.5	FALSE	987353	0.142066189372792	0.594397641273874	0.145732424387439	6.78295441262795	0.0202535207553822	17066	45068000	44
20221120 165110	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	0.1	50	0.5	FALSE	987353	0.0648380467160627	0.851666056926813	0.480268761607759	6.53770863222917	0.0175486988183114	19011	44698000	45
20221120 170038	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	591	1	1	1	0.1	50	0.5	FALSE	987353	0.0553158613815906	0.855906001239097	0.409730099268337	6.04985067762018	0.0222650391072227	17193	47374000	46
20221120 170728	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	0.1	50	0.5	FALSE	987353	0.291288826885689	0.498823056898512	0.164462333748749	7.15696605028982	0.01765713690074	18429	43542000	47
20221120 171237	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	0.1	50	0.5	FALSE	987353	0.129906723340392	0.899680030717872	0.333068866614925	6.8405912487875	0.020200146970524	17471	46498000	48
20221120 171627	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	0.1	50	0.5	FALSE	987353	0.219136592469917	0.862504179542565	0.351865913319837	7.1060221106028	0.0191747022996195	17339	45562000	49
20221120 172025	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	130	1	1	1	0.1	50	0.5	FALSE	987353	0.123898864648221	0.891027484586587	0.344666661241282	6.08380511048059	0.0238776942643314	16292	46856000	50
20221120 172624	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	0.1	50	0.5	FALSE	987353	0.205016618885871	0.309197389660892	0.335549496840945	6.30550234980304	0.017656599826691	20131	43338000	51
20221120 173046	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	145	1	1	1	0.1	50	0.5	FALSE	987353	0.199669470219319	0.736119694291845	0.394063495880667	6.56727327025504	0.0219813030687067	16108	47144000	52
20221120 174036	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	0.1	50	0.5	FALSE	987353	0.0660159806264837	0.899727897295808	0.435722216958771	6.0558951228955	0.0218236269127085	16891	46938000	53
20221120 174801	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	0.1	50	0.5	FALSE	987353	0.0830611889224684	0.897903426641313	0.383202777473308	6.36987553344661	0.0214313141563173	17072	46176000	54
20221120 175257	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	0.1	50	0.5	FALSE	987353	0.119243647131714	0.68159593075386	0.435188486815394	6.52906871145259	0.0197969243170974	18150	46020000	55
20221120 175723	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	155	1	1	1	0.1	50	0.5	FALSE	987353	0.12634589721569	0.871798184301651	0.406145851592824	6.44628947745559	0.0223082973667139	16930	46780000	56
20221120 180317	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	327	1	1	1	0.1	50	0.5	FALSE	987353	0.127031168631773	0.814222755428741	0.40164968824785	6.14493904940355	0.0237273121307346	16275	46970000	57
20221120 180708	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	987353	0.191651617428208	0.772107841999461	0.342391758227978	6.31561035370761	0.0211666055171931	17295	46210000	58
20221120 181258	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	0.1	50	0.5	FALSE	987353	0.0729653003008845	0.731915900922297	0.174191733421843	6.83200920631591	0.019649272789346	17674	46012000	59
20221120 181720	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	0.1	50	0.5	FALSE	987353	0.171098026095293	0.731139179646358	0.155195936102829	6.55086766286186	0.0196217104405733	17675	44730000	60
20221120 182352	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	421	1	1	1	0.1	50	0.5	FALSE	987353	0.192714959589682	0.883370000886487	0.390474668877233	5.87181540126231	0.0185594633003321	18172	44376000	61
20221120 183222	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1505	1	1	1	0.1	50	0.5	FALSE	987353	0.280232322193659	0.868322052349592	0.855349276281742	1.44033353963005	0.0219722643612558	16525	40470000	62
20221120 184042	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	0.1	50	0.5	FALSE	987353	0.273885090666368	0.319390283952374	0.512682465169195	9.53075174185983	0.00147161024312914	17796	41448000	63
20221120 184352	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	106	1	1	1	0.1	50	0.5	FALSE	987353	0.20322518094913	0.639197901545418	0.864982291966386	3.55056617308105	0.020201844028705	18793	42734000	64
20221120 184928	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	0.1	50	0.5	FALSE	987353	0.260113347485771	0.776565828062291	0.156966272706538	11.7907411375388	0.00203384764873547	19745	37390000	65
20221120 185834	2142	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	509	1	1	1	0.1	50	0.5	FALSE	987353	0.0426870029869073	0.611171990770463	0.427935900162747	6.44821784065987	0.0222657312240477	16857	47326000	66
